	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	
1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	
2	1	0	1	0	0	0	1	1	1	1	0	0	0	0	1	0	1	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	0	1	0	1	0	1	1	1	
3	0	1	0	0	0	1	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	1	1	1	1	1	
4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	
5	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	0	1	0	
6	0	0	1	1	1	0	1	0	0	1	1	0	1	0	1	0	0	0	0	1	0	1	0	1	0	0	1	1	0	0	0	1	1	1	0	1	1	0	1	1	
7	0	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	1	1	1	1	1	1	0	1	1	
8	0	1	0	0	0	0	0	0	1	1	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	
9	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	1	1	0	0	1	0	0	1	1	0	0	0	0	0	0	
10	0	1	0	1	0	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	1	1	1	0	1	
11	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	0	0	
12	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	0	1	1	0	0	1	1	0	1	1	0	0	0	0	1	0	1	
13	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	1	0	0	1	0	1	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	1	0	0	
14	0	0	1	0	1	0	1	1	0	1	0	0	1	0	1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	
15	1	1	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	
